"PROPAGATIVE_MATERIAL_TYPE","COUNTRY_OF_ORIGIN_NAME","MEDIAN_QTY_LT200","PRODUCER_GROUP_TOP","IMPORTER_NAME_TOP","Compliance"
"Rooted Plant (including grafted)","Israel",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Israel",FALSE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Israel",FALSE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","France",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","France",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","France",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","France",FALSE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","North Macedonia",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","North Macedonia",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","North Macedonia",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","North Macedonia",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Spain",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Spain",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Spain",TRUE,"Reference","western cactus enterprises","Poor compliance"
"Rooted Plant (including grafted)","Spain",TRUE,"Reference","altman specialty plants","Poor compliance"
"Rooted Plant (including grafted)","Spain",TRUE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Spain",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Spain",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Spain",FALSE,"Reference","western cactus enterprises","Low compliance"
"Rooted Plant (including grafted)","Spain",FALSE,"Reference","altman specialty plants","Low compliance"
"Rooted Plant (including grafted)","Spain",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Germany",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Germany",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Germany",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Germany",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Germany",TRUE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Germany",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Germany",TRUE,"Reference","mchutchison","Poor compliance"
"Rooted Plant (including grafted)","Germany",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Germany",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Germany",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Germany",FALSE,"Reference","costa farms","Low compliance"
"Rooted Plant (including grafted)","Germany",FALSE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Germany",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Germany",FALSE,"Reference","mchutchison","Low compliance"
"Rooted Plant (including grafted)","Madagascar",TRUE,"Reference","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","Madagascar",TRUE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Madagascar",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Madagascar",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Madagascar",FALSE,"Reference","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","Madagascar",FALSE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Madagascar",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Madagascar",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","fb imports","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","united plant growers","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Brazil",TRUE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","costa farms","Medium compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","fb imports","Poor compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","united plant growers","Low compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","foremost foliage inc dba foremostco","Low compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","foremost foliage","Low compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Brazil",FALSE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",TRUE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",FALSE,"Reference","missing","Medium compliance"
"Rooted Plant (including grafted)","United Kingdom of Great Britain and N. Ireland",FALSE,"Reference","costa farms","Medium compliance"
"Rooted Plant (including grafted)","Colombia",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Colombia",TRUE,"Reference","russells bromelaids","Poor compliance"
"Rooted Plant (including grafted)","Colombia",TRUE,"Reference","dockside management","Low compliance"
"Rooted Plant (including grafted)","Colombia",TRUE,"GENEROS ECUATORIANOS","Reference","Low compliance"
"Rooted Plant (including grafted)","Colombia",TRUE,"Reference","fb imports","Low compliance"
"Rooted Plant (including grafted)","Colombia",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Colombia",FALSE,"Reference","russells bromelaids","Low compliance"
"Rooted Plant (including grafted)","Colombia",FALSE,"Reference","dockside management","Medium compliance"
"Rooted Plant (including grafted)","Colombia",FALSE,"GENEROS ECUATORIANOS","Reference","Low compliance"
"Rooted Plant (including grafted)","Colombia",FALSE,"Reference","fb imports","Low compliance"
"Rooted Plant (including grafted)","Tanzania",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Tanzania",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",TRUE,"Reference","western cactus enterprises","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",TRUE,"Reference","scott valentine","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",TRUE,"Reference","altman specialty plants","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",TRUE,"Reference","ds cole growers","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Tanzania",FALSE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",FALSE,"Reference","western cactus enterprises","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",FALSE,"Reference","scott valentine","Low compliance"
"Rooted Plant (including grafted)","Tanzania",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",FALSE,"Reference","altman specialty plants","Poor compliance"
"Rooted Plant (including grafted)","Tanzania",FALSE,"Reference","ds cole growers","Poor compliance"
"Rooted Plant (including grafted)","Czech Republic",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Czech Republic",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Czech Republic",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Czech Republic",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","New Zealand",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","New Zealand",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","New Zealand",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","New Zealand",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Australia",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Australia",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Australia",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Australia",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Australia",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Australia",FALSE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Australia",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Australia",FALSE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Nigeria",TRUE,"Reference","tat tristan g","Poor compliance"
"Rooted Plant (including grafted)","Nigeria",TRUE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Nigeria",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Nigeria",FALSE,"Reference","tat tristan g","Poor compliance"
"Rooted Plant (including grafted)","Nigeria",FALSE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Nigeria",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Denmark",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Denmark",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Denmark",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Denmark",FALSE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Poland",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Poland",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Poland",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Poland",TRUE,"Reference","mchutchison","Poor compliance"
"Rooted Plant (including grafted)","Poland",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Poland",TRUE,"Reference","scott valentine","Poor compliance"
"Rooted Plant (including grafted)","Poland",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Poland",FALSE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Poland",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Poland",FALSE,"Reference","mchutchison","Low compliance"
"Rooted Plant (including grafted)","Poland",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Poland",FALSE,"Reference","scott valentine","Low compliance"
"Rooted Plant (including grafted)","Ireland",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Ireland",TRUE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Ireland",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Ireland",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Ireland",FALSE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Ireland",FALSE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Nicaragua",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Nicaragua",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Malaysia",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Malaysia",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Malaysia",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Malaysia",TRUE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Malaysia",TRUE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Malaysia",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Malaysia",FALSE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Malaysia",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Malaysia",FALSE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Malaysia",FALSE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Hong Kong",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Hong Kong",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","United States of America",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","United States of America",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","United States of America",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","United States of America",FALSE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","United States of America",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","United States of America",FALSE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Chile",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Chile",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Uganda",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Uganda",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Uganda",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Uganda",TRUE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Uganda",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Uganda",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Uganda",FALSE,"Reference","costa farms","Medium compliance"
"Rooted Plant (including grafted)","Uganda",FALSE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Belgium",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Belgium",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Belgium",TRUE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Belgium",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Belgium",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Belgium",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Cameroon",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Cameroon",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Ukraine",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Ukraine",FALSE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Luxembourg",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Luxembourg",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Luxembourg",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Luxembourg",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Peru",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Peru",TRUE,"ORNAMENTALES SAPO VERDE 801","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Peru",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Peru",TRUE,"ORNAMENTALES SAPO VERDE 801","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Peru",TRUE,"GENEROS ECUATORIANOS","Reference","Poor compliance"
"Rooted Plant (including grafted)","Peru",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Peru",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Peru",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Peru",FALSE,"ORNAMENTALES SAPO VERDE 801","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Peru",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Peru",FALSE,"ORNAMENTALES SAPO VERDE 801","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Peru",FALSE,"GENEROS ECUATORIANOS","Reference","Poor compliance"
"Rooted Plant (including grafted)","Peru",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Peru",FALSE,"Reference","costa farms","Low compliance"
"Rooted Plant (including grafted)","Panama",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Panama",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Bulgaria",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Bulgaria",FALSE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Dominican Republic",TRUE,"COSTA","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Dominican Republic",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Dominican Republic",TRUE,"Reference","fb imports","Poor compliance"
"Rooted Plant (including grafted)","Dominican Republic",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Dominican Republic",FALSE,"COSTA","costa farms","Low compliance"
"Rooted Plant (including grafted)","Dominican Republic",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Dominican Republic",FALSE,"Reference","fb imports","Poor compliance"
"Rooted Plant (including grafted)","Dominican Republic",FALSE,"Reference","costa farms","Low compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"Reference","graciana parker","Low compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"GENEROS ECUATORIANOS","Reference","Low compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"JARDINES TERRAGARDEN","terra garden","Poor compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"JARDINES TERRAGARDEN","Reference","Poor compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"GENEROS ECUATORIANOS","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Ecuador",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"Reference","graciana parker","Medium compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"GENEROS ECUATORIANOS","Reference","Medium compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"JARDINES TERRAGARDEN","terra garden","Poor compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"JARDINES TERRAGARDEN","Reference","Low compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"GENEROS ECUATORIANOS","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"Reference","omega customs brokers","Low compliance"
"Rooted Plant (including grafted)","Ecuador",FALSE,"Reference","missing","Medium compliance"
"Rooted Plant (including grafted)","Honduras",TRUE,"AGRIGENTUM SA","Reference","Poor compliance"
"Rooted Plant (including grafted)","Honduras",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Honduras",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Honduras",TRUE,"Reference","plant exports","Poor compliance"
"Rooted Plant (including grafted)","Honduras",TRUE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Honduras",TRUE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Honduras",FALSE,"AGRIGENTUM SA","Reference","Medium compliance"
"Rooted Plant (including grafted)","Honduras",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Honduras",FALSE,"Reference","costa farms","Medium compliance"
"Rooted Plant (including grafted)","Honduras",FALSE,"Reference","plant exports","Poor compliance"
"Rooted Plant (including grafted)","Honduras",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Honduras",FALSE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Guam",TRUE,"Reference","fb imports","Poor compliance"
"Rooted Plant (including grafted)","Guam",FALSE,"Reference","fb imports","Poor compliance"
"Rooted Plant (including grafted)","Mozambique",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Mozambique",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Guinea",TRUE,"Reference","green thumb marketing","Poor compliance"
"Rooted Plant (including grafted)","Guinea",FALSE,"Reference","green thumb marketing","Poor compliance"
"Rooted Plant (including grafted)","Trinidad and Tobago",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Trinidad and Tobago",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Sweden",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Sweden",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Bolivia",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Bolivia",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Portugal",TRUE,"Reference","green plant cuttings usa","Poor compliance"
"Rooted Plant (including grafted)","Portugal",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Portugal",FALSE,"Reference","green plant cuttings usa","Low compliance"
"Rooted Plant (including grafted)","Portugal",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Canada",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Canada",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Canada",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Canada",FALSE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Pakistan",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Pakistan",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Switzerland",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Switzerland",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Barbados",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Barbados",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Antigua and Barbuda",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Antigua and Barbuda",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","St. Lucia",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","St. Lucia",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Belize",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Belize",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Ethiopia",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Ethiopia",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Nepal",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Nepal",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Senegal",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Senegal",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Gambia",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Gambia",FALSE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Suriname",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","Suriname",FALSE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","US Virgin Islands",TRUE,"Reference","Reference","Poor compliance"
"Rooted Plant (including grafted)","US Virgin Islands",FALSE,"Reference","Reference","Low compliance"
"Unrooted Plant","Korea, South",TRUE,"xplant","Reference","Poor compliance"
"Unrooted Plant","Korea, South",TRUE,"xplant","missing","Poor compliance"
"Unrooted Plant","Korea, South",TRUE,"Reference","Reference","Medium compliance"
"Unrooted Plant","Korea, South",TRUE,"Reference","missing","Poor compliance"
"Unrooted Plant","Korea, South",TRUE,"Reference","western cactus enterprises","Poor compliance"
"Unrooted Plant","Korea, South",TRUE,"Reference","altman specialty plants","Poor compliance"
"Unrooted Plant","Korea, South",TRUE,"Reference","costa farms","Low compliance"
"Unrooted Plant","Korea, South",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Unrooted Plant","Korea, South",TRUE,"Reference","aksiporn saengfa","Low compliance"
"Unrooted Plant","Korea, South",FALSE,"xplant","Reference","Medium compliance"
"Unrooted Plant","Korea, South",FALSE,"xplant","missing","Low compliance"
"Unrooted Plant","Korea, South",FALSE,"Reference","Reference","High compliance"
"Unrooted Plant","Korea, South",FALSE,"Reference","missing","Medium compliance"
"Unrooted Plant","Korea, South",FALSE,"Reference","western cactus enterprises","Medium compliance"
"Unrooted Plant","Korea, South",FALSE,"Reference","altman specialty plants","Medium compliance"
"Unrooted Plant","Korea, South",FALSE,"Reference","costa farms","Medium compliance"
"Unrooted Plant","Korea, South",FALSE,"Reference","miyar intl brokerage","Low compliance"
"Unrooted Plant","Korea, South",FALSE,"Reference","aksiporn saengfa","Medium compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","missing","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Escactus","missing","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","Reference","Medium compliance"
"Unrooted Plant","Thailand",TRUE,"WALPAT AQUATIC","complete aquatic systems","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","ultum nature systems","Medium compliance"
"Unrooted Plant","Thailand",TRUE,"WHITE ROSE EXPORT (THAILAND) LTD","complete aquatic systems","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","siam flora","Low compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","complete aquatic systems","Low compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","tat tristan g","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","united plant growers","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Natta 1565 Limited","Reference","Low compliance"
"Unrooted Plant","Thailand",TRUE,"ALPINE TROPICAL PLANTS CO LTD","missing","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","chen tian","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","ds cole growers","Poor compliance"
"Unrooted Plant","Thailand",TRUE,"Reference","omega customs brokers","Poor compliance"
