,INSPECTION_ID,COMMODITY_COMMON_NAME,COUNTRY_OF_ORIGIN_NAME,PRODUCER_NAME,PROPAGATIVE_MATERIAL_TYPE,QUANTITY,BROKER_NAME,INSPECTION_LOCATION_NAME,PATHWAY,INSPECTION_NUMBER,SHIPPER_NAME,TAXONOMY_ORDER,TAXONOMY_FAMILY,TAXONOMY_GENUS,TAXONOMY_SPECIES,action,RISK_UNIT,TOTAL_SAMPLING_UNITS_FOR_RISK_UNIT,SAMPLING_UNITS_FOR_INSPECTION_UNIT,REQUIRED_NUMBER_OF_BOXES
125,2284202,Unknown,Congo,Not Selected,Unrooted Cutting,400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Saxifragales,Crassulaceae,Aeonium,davidbramwellii,0,2284202_1,47,2,8
126,2284202,Aeschynanthus sp.,Congo,Unknown,Unrooted Cutting,200,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Lamiales,Gesneriaceae,Aeschynanthus,Unknown,0,2284202_1,47,6,8
127,2284202,Haworthia fasciata,Congo,Unknown,Unrooted Cutting,400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Asparagales,Asphodelaceae,Haworthia,fasciata,0,2284202_1,47,2,8
128,2284202,Rhipsalis pilocarpa,Congo,Unknown,Unrooted Cutting,100,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Caryophyllales,Cactaceae,Rhipsalis,pilocarpa,0,2284202_1,47,1,8
129,2284202,Unknown,Congo,Unknown,Unrooted Cutting,100,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Caryophyllales,Cactaceae,Rhipsalis,capilliformis,0,2284202_1,47,1,8
130,2284202,Crassula alba,Congo,Unknown,Unrooted Cutting,300,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Saxifragales,Crassulaceae,Crassula,alba,0,2284202_1,47,1,8
131,2284202,Unknown,Congo,Unknown,Unrooted Cutting,200,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Saxifragales,Crassulaceae,Crassula,swaziensis,0,2284202_1,47,1,8
132,2284202,Sedum morganianum,Congo,Unknown,Unrooted Cutting,2000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Saxifragales,Crassulaceae,Sedum,morganianum,0,2284202_1,47,1,8
133,2284202,Echeveria sp.,Congo,Unknown,Unrooted Cutting,3400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Saxifragales,Crassulaceae,Echeveria,Unknown,0,2284202_1,47,1,8
134,2284202,Rhipsalis cereuscula,Congo,Unknown,Unrooted Cutting,100,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Caryophyllales,Cactaceae,Rhipsalis,cereuscula,0,2284202_1,47,6,8
135,2284202,Chlorophytum comosum,Congo,Unknown,Unrooted Cutting,1000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Asparagales,Asparagaceae,Chlorophytum,comosum,0,2284202_1,47,23,8
136,2284202,Dischidia ovata,Congo,Unknown,Unrooted Cutting,400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Gentianales,Apocynaceae,Dischidia,ovata,0,2284202_1,47,23,8
8,2490209,Epipremnum aureum,Ecuador,Mediocre Plants SA,Unrooted Cutting,76500,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_210,Unknown,Alismatales,Araceae,Epipremnum,aureum,0,2490209_1,51,51,12
457,1867217,Calathea sp.,Thailand,BANGKOKS BEST,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),21090,REM,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_218,Unknown,Zingiberales,Marantaceae,Calathea,Unknown,0,1867217_1,28,2,2
44,2130222,Cryptocoryne sp.,Vietnam,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),865,TRANS GALACTIC LOGISTICS LLC,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_223,CRANE KICK CO LTD,Alismatales,Araceae,Cryptocoryne,Unknown,0,2130222_1,72,1,16
45,2130222,Hygrophila pinnatifida,Vietnam,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),60,TRANS GALACTIC LOGISTICS LLC,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_223,CRANE KICK CO LTD,Lamiales,Acanthaceae,Hygrophila,pinnatifida,0,2130222_1,72,1,16
46,2130222,Staurogyne sp.,Vietnam,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),450,TRANS GALACTIC LOGISTICS LLC,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_223,CRANE KICK CO LTD,Lamiales,Acanthaceae,Staurogyne,Unknown,0,2130222_1,72,1,16
47,2130222,Hedyotis salzmannii,Vietnam,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),50,TRANS GALACTIC LOGISTICS LLC,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_223,CRANE KICK CO LTD,Gentianales,Rubiaceae,Hedyotis,salzmannii,0,2130222_1,72,1,16
445,1897224,Scaevola aemula,Jamaica,Ugly Duckling Jamaica,Unrooted Cutting,3400,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_225,Unknown,Asterales,Goodeniaceae,Scaevola,aemula,0,1897224_1,513,1,8
82,721823,Batemannia sp.,Chile,TGI Mondays,Rooted Plant (including grafted),8,MIRIAM INT'L BROKERAGE LLC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_24,PERUANINO SCRL,Asparagales,Orchidaceae,Batemannia,Unknown,0,721823_1,17,1,9
300,1438248,Nepenthes gymnamphora,Bhutan,Unknown,Rooted Plant (including grafted),10,"EASTERN UNDERLAND CORP, JERSEY",JFK PIS,Airport - Aircraft - Cargo - PIS,INS_249,Bonos U2,Caryophyllales,Nepenthaceae,Nepenthes,gymnamphora,0,1438248_1,1,1,1
301,1438248,Nepenthes campanulata,Bhutan,Unknown,Rooted Plant (including grafted),6,"EASTERN UNDERLAND CORP, JERSEY",JFK PIS,Airport - Aircraft - Cargo - PIS,INS_249,Bonos U2,Caryophyllales,Nepenthaceae,Nepenthes,campanulata,0,1438248_1,1,1,1
302,1438248,Nepenthes gymnamphora,Bhutan,Unknown,Rooted Plant (including grafted),10,"EASTERN UNDERLAND CORP, JERSEY",JFK PIS,Airport - Aircraft - Cargo - PIS,INS_249,Bonos U2,Caryophyllales,Nepenthaceae,Nepenthes,gymnamphora,0,1438248_1,1,1,1
180,1112024,Utricularia sp.,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),240,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Lamiales,Lentibulariaceae,Utricularia,Unknown,0,1112024_1,43,4,15
181,1112024,Tradescantia sp.,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),200,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Commelinales,Commelinaceae,Tradescantia,Unknown,0,1112024_1,43,1,15
182,1112024,Taxiphyllum SP.,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),240,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Hypnales,Hypnaceae,Taxiphyllum,Unknown,0,1112024_1,43,1,15
183,1112024,Pogostemon helferi,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),20,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Lamiales,Lamiaceae,Pogostemon,helferi,0,1112024_1,43,1,15
184,1112024,Lysimachia nummularia,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),160,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Ericales,Primulaceae,Lysimachia,nummularia,0,1112024_1,43,1,15
185,1112024,Epipremnum aureum,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),300,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Alismatales,Araceae,Epipremnum,aureum,0,1112024_1,43,1,15
186,1112024,Syngonium podophyllum,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),200,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Alismatales,Araceae,Syngonium,podophyllum,0,1112024_1,43,2,15
187,1112024,Cryptocoryne wendtii,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),380,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Alismatales,Araceae,Cryptocoryne,wendtii,0,1112024_1,43,1,15
188,1112024,Taxiphyllum SP.,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),240,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Hypnales,Hypnaceae,Taxiphyllum,Unknown,0,1112024_1,43,1,15
189,1112024,Dendrobium sp.,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),200,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Asparagales,Orchidaceae,Dendrobium,Unknown,0,1112024_1,43,4,15
190,1112024,Pogostemon sp.,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),200,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Lamiales,Lamiaceae,Pogostemon,Unknown,0,1112024_1,43,1,15
191,1112024,Helanthium tenellum,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),400,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Alismatales,Alismataceae,Helanthium,tenellum,0,1112024_1,43,4,15
192,1112024,Unknown,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),20,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Alismatales,Araceae,Anubias,gigantea,0,1112024_1,43,3,15
193,1112024,Pogostemon helferi,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),20,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Lamiales,Lamiaceae,Pogostemon,helferi,0,1112024_1,43,1,15
194,1112024,Epipremnum aureum,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),300,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Alismatales,Araceae,Epipremnum,aureum,0,1112024_1,43,1,15
195,1112024,Cryptocoryne beckettii,Vietnam,Acupuncture Traditions LTD,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),120,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_25,We Are Farmers CO LTD,Alismatales,Araceae,Cryptocoryne,beckettii,0,1112024_1,43,2,15
141,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
142,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
143,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
144,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
145,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
146,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
147,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
148,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
149,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
150,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
151,2327253,Celosia sp.,Zimbabwe,Unknown,Unrooted Cutting,12400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_254,Unknown,Caryophyllales,Amaranthaceae,Celosia,Unknown,0,2327253_1,10,10,6
303,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
304,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
305,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
306,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
307,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
308,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
309,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
310,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
311,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
312,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
313,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
314,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
315,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
316,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
317,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
318,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
319,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
320,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
321,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
322,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
323,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
324,860926,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,79740,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_27,Bob Costa Ranch LLC,Alismatales,Araceae,Epipremnum,Unknown,0,860926_1,50,50,8
48,1817270,Angelonia angustifolia,Jamaica,Ugly Duckling Jamaica,Unrooted Cutting,1300,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_271,Unknown,Lamiales,Plantaginaceae,Angelonia,angustifolia,0,1817270_1,57,29,8
49,1817270,Scindapsus sp.,Jamaica,Ugly Duckling Jamaica,Unrooted Cutting,18600,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_271,Unknown,Alismatales,Araceae,Scindapsus,Unknown,0,1817270_1,57,1,8
38,2263027,Helianthus sp.,Jamaica,ALL CAPS PLANTS  S.A,Unrooted Cutting,600,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_28,Unknown,Asterales,Asteraceae,Helianthus,Unknown,0,2263027_1,1,1,1
58,1417286,Aglaonema sp.,Vietnam,Not Selected,Rooted Plant (including grafted),4000,ARMS DEALER WORLD GROUP INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_287,MONGOLIAN BEEF SA,Alismatales,Araceae,Aglaonema,Unknown,0,1417286_1,120,72,17
363,2328286,Microcarpaea minima,Bhutan,Spectacular Plants PVT,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),644,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_287,Unknown,Lamiales,Phrymaceae,Microcarpaea,minima,0,2328286_1,8,1,2
364,2328286,Eleocharis parvula,Bhutan,Running Man Plants PVT,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),350,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_287,Unknown,Poales,Cyperaceae,Eleocharis,parvula,0,2328286_1,8,1,2
381,2235296,Cyrtomium falcatum,Belgium,IN VITRO VITALITY,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),2688,ARMS DEALER WORLD GROUP INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_297,IN VITRO VITALITY 2-45,Polypodiales,Dryopteridaceae,Cyrtomium,falcatum,0,2235296_1,84,1,2
335,1177298,Sphyrospermum sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),6,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_299,El Generico,Ericales,Ericaceae,Sphyrospermum,Unknown,0,1177298_1,78,2,8
336,1177298,Christensonella sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),3,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_299,El Generico,Asparagales,Orchidaceae,Christensonella,Unknown,0,1177298_1,78,2,8
365,1527029,Dracaena marginata,Ecuador,Bobby Chang-Ramirez,Rooted Plant (including grafted),1200,"BOND, JAMES, INC.",San Diego PIS,Maritime Port - Vessel - Cargo - PIS,INS_30,Contraband Smuggling Shipping Company,Asparagales,Asparagaceae,Dracaena,marginata,0,1527029_1,22,1,10
366,1527029,Dracaena marginata,Ecuador,John Goodmans Garden,Rooted Plant (including grafted),2100,"BOND, JAMES, INC.",San Diego PIS,Maritime Port - Vessel - Cargo - PIS,INS_30,Contraband Smuggling Shipping Company,Asparagales,Asparagaceae,Dracaena,marginata,0,1527029_1,22,4,10
514,729530,Petunia sp.,Ecuador,Unknown,Unrooted Cutting,2400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_31,Unknown,Solanales,Solanaceae,Petunia,Unknown,0,729530_1,1,1,1
515,729530,Petunia sp.,Ecuador,Unknown,Unrooted Cutting,2400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_31,Unknown,Solanales,Solanaceae,Petunia,Unknown,0,729530_1,1,1,1
516,729530,Petunia sp.,Ecuador,Unknown,Unrooted Cutting,2400,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_31,Unknown,Solanales,Solanaceae,Petunia,Unknown,0,729530_1,1,1,1
517,729530,Hedera sp.,Ecuador,Unknown,Unrooted Cutting,100,TEST LOGISTICS LTD,Linden PIS,Airport - Aircraft - Cargo - PIS,INS_31,Unknown,Apiales,Araliaceae,Hedera,Unknown,0,729530_1,1,1,1
14,2584312,Impatiens hawkerii,Colombia,VIVIANS INTERNATIONAL MAN,Unrooted Cutting,37500,Pokemon Trade Networks,Los Indios PIS,Land Border - Truck - Cargo - PIS,INS_313,VIVIANS INTERNATIONAL MAN,Geraniales,Balsaminaceae,Impatiens,hawkeri,0,2584312_1,369,25,8
15,2584312,Mandevilla sanderi,Colombia,VIVIANS INTERNATIONAL MAN,Unrooted Cutting,2500,Pokemon Trade Networks,Los Indios PIS,Land Border - Truck - Cargo - PIS,INS_313,VIVIANS INTERNATIONAL MAN,Gentianales,Apocynaceae,Mandevilla,sanderi,0,2584312_1,369,10,8
16,2584312,Impatiens hawkerii,Mexico,VIVIANS INTERNATIONAL MAN,Unrooted Cutting,37500,Pokemon Trade Networks,Los Indios PIS,Land Border - Truck - Cargo - PIS,INS_313,VIVIANS INTERNATIONAL MAN,Geraniales,Balsaminaceae,Impatiens,hawkeri,0,2584312_1,369,2,8
370,2013313,Gymnocalycium mihanovichii,Vietnam,Don Thuc Thai Mon,Rooted Plant (including grafted),216,UMBRELLA BROKERAGE INC.,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_314,Greg,Caryophyllales,Cactaceae,Gymnocalycium,mihanovichii,0,2013313_1,1,1,1
447,1298314,Tradescantia pallida,Argentina,Flower Power Sixty,Unrooted Cutting,200,JORDAN LOVE INT'L CHB INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_315,Flower Power Sixty,Commelinales,Commelinaceae,Tradescantia,pallida,0,1298314_1,3,3,3
197,1229315,Delosperma sp.,Peru,Jimmy Chu HHH,Unrooted Cutting,4200,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_316,Unknown,Caryophyllales,Aizoaceae,Delosperma,Unknown,0,1229315_1,240,1,13
487,1731318,Vanda hybrid,Vietnam,Not Selected,Rooted Plant (including grafted),2785,AMEX INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_319,Unknown,Asparagales,Orchidaceae,Vanda,hybrid,0,1731318_1,51,46,12
