INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,PRODUCER
INS-8477,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),955,10110,California Pajarosa
INS-8841,Atlanta PIS,Air,India,Budwood/Graftwood (scion),77,6685,Lucas Greenhouses
INS-2382,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),55,5429,"Costa Farms, LLC"
INS-1061,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",177,3219,Kerry's Bromeliads
INS-4013,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),107,7948,Green Circle Growers
INS-8236,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",230,2517,Hines Horticulture
INS-8659,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",711,62506,Alex R. Masson
INS-2171,Miami PIS,Air,India,Budwood/Graftwood (scion),685,13855,Myriad Flowers International
INS-8032,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",935,9003,Barcelo Enterprises
INS-1897,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",385,35101,Operation
INS-4457,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),293,12514,Operation
INS-9978,Atlanta PIS,Air,India,Budwood/Graftwood (scion),83,4860,Dewar Nurseries
INS-2582,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",776,75120,O.F. Nelson & Sons Nursery Inc.
INS-2293,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",971,63679,Alex R. Masson
INS-4729,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),171,13298,Color Star Growers
INS-6650,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",509,48100,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-9380,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),33,2684,"Stacy's Greenhouses, Inc."
INS-9837,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),555,37401,DeLeon's Bromeliads
INS-1581,Los Angeles PIS,Truck,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),875,13191,"B&H Flowers, Inc."
INS-2171,Miami PIS,Air,India,Budwood/Graftwood (scion),685,13855,Myriad Flowers International
INS-8197,Atlanta PIS,Air,Japan,Budwood/Graftwood (scion),760,68572,Colorama Wholesale Nursery
INS-3556,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),848,24171,Woodburn Nursery & Azaleas
INS-9037,Atlanta PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",470,15175,Bell Nursery
INS-6947,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),669,32657,Colorama Wholesale Nursery
INS-1881,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",181,14102,Pacifica Flowers
INS-8575,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",276,9669,Kitayama Brothers
INS-2440,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",729,28203,Tagawa Greenhouses
INS-4729,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),171,13298,Color Star Growers
INS-6098,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",25,5,Grower Direct Farms
INS-5540,Atlanta PIS,Air,New Zeland,Budwood/Graftwood (scion),215,19631,Van de Wetering Greenhouses Inc.
INS-7108,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",204,7310,Aldershot of New Mexico Inc.
INS-6854,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",905,83508,Silver Terrace Nursery
INS-9968,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",1,22,Bailey Nurseries
INS-9978,Atlanta PIS,Air,India,Budwood/Graftwood (scion),83,4860,Dewar Nurseries
INS-5659,Los Angeles PIS,Train,Japan,Budwood/Graftwood (scion),551,37433,Dan Schantz Farm
INS-1805,Miami PIS,Sea,India,Budwood/Graftwood (scion),891,50982,Four Star Greenhouses
INS-7533,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",884,65709,Hermann Engelmann Greenhouses
INS-9804,Los Angeles PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",952,17007,Twixwood Nursery LLC
INS-3928,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",314,28371,Cuthbert Greenhouse
INS-5021,Los Angeles PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),930,15439,El Modeno Gardens Inc.
INS-4734,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),187,2845,Myriad Flowers International
INS-1395,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",870,15043,"Stacy's Greenhouses, Inc."
INS-7034,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),522,15687,El Modeno Gardens Inc.
INS-4122,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),985,23575,Aris (formerly Yoder Brothers)
INS-8164,Miami PIS,Sea,India,Budwood/Graftwood (scion),530,41649,'Riverview Flower Farm
INS-8575,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",276,9669,Kitayama Brothers
INS-8509,Miami PIS,Train,Japan,Budwood/Graftwood (scion),412,39122,Panzer Nursery
INS-4681,Los Angeles PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),771,57772,Alex R. Masson
INS-3945,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),392,23391,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-7698,Atlanta PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),675,66728,Sunshine Floral Inc.
INS-8256,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),835,23989,"Young's Plant Farm, Inc."
INS-5293,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),838,18571,Dallas Johnson Greenhouses
INS-9067,Los Angeles PIS,Sea,New Zeland,Budwood/Graftwood (scion),835,76569,Ocean Breeze International
INS-2187,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),265,19576,Pacifica Flowers
INS-9003,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),893,67310,Pacifica Flowers
INS-1805,Miami PIS,Sea,India,Budwood/Graftwood (scion),891,50982,Four Star Greenhouses
INS-2293,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",971,63679,Alex R. Masson
INS-5881,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),350,22047,Smith Gardens
INS-1520,Miami PIS,Sea,India,Budwood/Graftwood (scion),180,14246,Altman Plants
INS-1404,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),50,576,Four Star Greenhouses
INS-1004,Miami PIS,Air,India,Budwood/Graftwood (scion),925,92470,Valley Flowers
INS-4799,Miami PIS,Air,Netherlands,Budwood/Graftwood (scion),487,437,Polk Nursery Company Inc.
INS-8032,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",935,9003,Barcelo Enterprises
INS-1230,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),563,9246,Operation
INS-6846,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),159,206,Altman Plants
INS-8513,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),67,4387,Kawahara Nurseries
INS-2382,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),55,5429,"Costa Farms, LLC"
INS-2243,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),200,12894,Grower Direct Farms
INS-8841,Atlanta PIS,Air,India,Budwood/Graftwood (scion),77,6685,Lucas Greenhouses
INS-8513,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),67,4387,Kawahara Nurseries
INS-5914,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",870,26071,Timberline Nursery Inc.
INS-8506,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),952,92436,California Pajarosa
INS-1786,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),693,20096,"Farmers' West Flowers & Bouquets, Inc."
INS-4512,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),114,3563,Kitayama Brothers
INS-7575,Miami PIS,Train,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),12,883,Ocean Breeze International
INS-3335,Los Angeles PIS,Air,New Zeland,Budwood/Graftwood (scion),792,39390,Bob's Market & Greenhouses Inc.
INS-7724,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",15,981,Dan & Jerry's Greenhouse
INS-5558,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",28,2483,Tagawa Greenhouses
INS-7722,Los Angeles PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),649,2235,Green Circle Growers
INS-5114,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",331,18009,Sawyer Nursery
INS-4332,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",382,4380,Wenke Greenhouses
INS-2982,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),226,6589,Twixwood Nursery LLC
INS-2814,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",977,3975,Mid-American Growers
INS-7724,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",15,981,Dan & Jerry's Greenhouse
INS-1976,Los Angeles PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),295,25161,Dallas Johnson Greenhouses
INS-1709,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),788,23678,N.G. Heimos Greenhouses
INS-2440,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",729,28203,Tagawa Greenhouses
INS-2440,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",729,28203,Tagawa Greenhouses
INS-8513,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),67,4387,Kawahara Nurseries
INS-4559,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),859,23507,Kerry's Bromeliads
INS-9953,Miami PIS,Air,India,Budwood/Graftwood (scion),933,55793,Harts Nursery
INS-2171,Miami PIS,Air,India,Budwood/Graftwood (scion),685,13855,Myriad Flowers International
INS-6854,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",905,83508,Silver Terrace Nursery
INS-4891,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",486,15505,Valley Flowers
INS-4479,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),843,49342,Metrolina Greenhouses
INS-8942,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",120,3342,Barcelo Enterprises
INS-9803,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",758,25844,Green Valley Growers
INS-8939,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",855,80437,Floral Plant Growers LLC
INS-2582,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",776,75120,O.F. Nelson & Sons Nursery Inc.
INS-2982,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),226,6589,Twixwood Nursery LLC
INS-6866,Miami PIS,Sea,Netherlands,"Root cutting, crown, or clump, Tuberous Root",638,9823,Elzinga & Hoeksema Greenhouses
INS-3620,Atlanta PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",763,43708,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-7555,Atlanta PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",235,10940,"B&H Flowers, Inc."
INS-6156,Los Angeles PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",98,4940,Van Wingerden International Inc.
INS-6098,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",25,5,Grower Direct Farms
INS-8562,Atlanta PIS,Air,India,Budwood/Graftwood (scion),620,39210,"Matsui Nursery, Inc."
INS-7381,Miami PIS,Air,New Zeland,Budwood/Graftwood (scion),893,65091,Maria Gardens Greenhouses Inc.
INS-1202,Atlanta PIS,Air,India,Budwood/Graftwood (scion),178,6190,Operation
INS-1323,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),282,9101,Gallup & Stribling Orchids Inc.
INS-6498,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",544,31596,Kawahara Nurseries
INS-5273,Miami PIS,Train,Japan,Budwood/Graftwood (scion),811,3444,Gallup & Stribling Orchids Inc.
INS-3357,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",606,41718,Hiebert Greenhouse of South Dakota
INS-4685,Los Angeles PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),205,17819,Sunshine Floral Inc.
INS-7745,Miami PIS,Air,India,Budwood/Graftwood (scion),238,19392,Heartland Growers
INS-8550,Los Angeles PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),437,11551,Alex R. Masson
INS-6138,Los Angeles PIS,Sea,Japan,Budwood/Graftwood (scion),963,69935,Welby Gardens Co. Inc.
INS-4443,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",321,31657,Delray Plants Inc.
INS-3556,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),848,24171,Woodburn Nursery & Azaleas
INS-5706,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",628,27141,Armstrong Growers
INS-3880,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",96,1578,Tagawa Greenhouses
INS-6141,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",931,7455,Young's Nursery & Greenhouses
INS-7047,Los Angeles PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",140,7913,Plant Marketing LLC
INS-1508,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",297,1984,DeLeon's Bromeliads
INS-1004,Miami PIS,Air,India,Budwood/Graftwood (scion),925,92470,Valley Flowers
INS-2849,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",352,14646,Aris (formerly Yoder Brothers)
INS-9099,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",200,14270,Barcelo Enterprises
INS-6822,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",540,47522,Dan Schantz Farm
INS-2403,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",759,9250,Wenke Greenhouses
INS-9061,Miami PIS,Air,New Zeland,"Root cutting, crown, or clump, Tuberous Root",124,1401,Westland Floral Co.
INS-5167,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",72,3384,California Pajarosa
INS-5200,Miami PIS,Sea,Netherlands,"Root cutting, crown, or clump, Tuberous Root",942,66836,Hiebert Greenhouse of South Dakota
INS-9405,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),102,942,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-1418,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",814,37729,"Matsui Nursery, Inc."
INS-2934,Atlanta PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),928,90985,GroLink Plant Co.
INS-6361,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",932,89745,Sawyer Nursery
INS-2643,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",461,9337,Northwest Horticulture
INS-7048,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",711,17527,Dan Schantz Farm
INS-2894,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",5,395,Burgett Geothermal Greenhouses
INS-1816,Miami PIS,Sea,Netherlands,"Root cutting, crown, or clump, Tuberous Root",183,15374,Wenke Greenhouses
INS-2814,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",977,3975,Mid-American Growers
INS-4729,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),171,13298,Color Star Growers
INS-2440,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",729,28203,Tagawa Greenhouses
INS-2140,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",253,10963,Dallas Johnson Greenhouses
INS-8841,Atlanta PIS,Air,India,Budwood/Graftwood (scion),77,6685,Lucas Greenhouses
INS-3930,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",471,6545,Operation
INS-4252,Los Angeles PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",500,3315,Four Star Greenhouses
INS-1410,Los Angeles PIS,Sea,New Zeland,Budwood/Graftwood (scion),335,20935,Green Circle Growers
INS-4193,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",309,18540,Metrolina Greenhouses
INS-3453,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),857,44873,Dewar Nurseries
INS-6577,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",227,10953,Dramm & Echter Inc.
INS-2813,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),889,73665,Elzinga & Hoeksema Greenhouses
INS-9052,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),563,8800,Dewar Nurseries
INS-9333,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",634,38444,Rockwell Farms Inc.
INS-1816,Miami PIS,Sea,Netherlands,"Root cutting, crown, or clump, Tuberous Root",183,15374,Wenke Greenhouses
INS-1856,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",72,212,Petitti Garden Center (Casa Verde)
INS-1897,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",385,35101,Operation
INS-6650,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",509,48100,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-1983,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",751,9985,Westland Floral Co.
INS-8774,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),278,7060,Dan Schantz Farm
INS-7732,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",845,47261,Burgett Geothermal Greenhouses
INS-8509,Miami PIS,Train,Japan,Budwood/Graftwood (scion),412,39122,Panzer Nursery
INS-5761,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),591,48447,"Bergen's Greenhouses, Inc."
INS-9975,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",906,15839,Delray Plants Inc.
INS-1298,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),2,148,Operation
INS-4612,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",947,30109,Mid-American Growers
INS-3947,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",968,18444,Colorama Wholesale Nursery
INS-9538,Los Angeles PIS,Air,Netherlands,Budwood/Graftwood (scion),599,30988,Westland Floral Co.
INS-6260,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",656,44985,Barcelo Enterprises
INS-8409,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),612,22980,"Farmers' West Flowers & Bouquets, Inc."
INS-2399,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",617,20440,Rocket Farms
INS-9821,Atlanta PIS,Air,New Zeland,Budwood/Graftwood (scion),942,9454,Van Wingerden International Inc.
INS-5372,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",342,18748,Nurserymen's Exchange
INS-5298,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),937,7640,Rocket Farms
INS-9717,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),950,59437,Kent's Bromeliads Nursery Inc.
INS-4428,Atlanta PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),896,88864,Nurserymen's Exchange
INS-4534,Los Angeles PIS,Train,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),847,5545,Rockwell Farms Inc.
INS-6361,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",932,89745,Sawyer Nursery
INS-2060,Atlanta PIS,Air,Japan,Budwood/Graftwood (scion),329,1756,Tagawa Greenhouses
INS-3930,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",471,6545,Operation
INS-2620,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),300,28618,Dallas Johnson Greenhouses
INS-1848,Los Angeles PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",243,20554,Sunshine Floral Inc.
INS-8902,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",556,18706,Timberline Nursery Inc.
INS-6402,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",302,22911,"Matsui Nursery, Inc."
INS-4212,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),746,27850,Polk Nursery Company Inc.
INS-4637,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",186,16498,Twixwood Nursery LLC
INS-4741,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),872,8715,Burgett Geothermal Greenhouses
INS-6733,Los Angeles PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),397,7337,Battlefield Farms
INS-9310,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",393,30107,Maria Gardens Greenhouses Inc.
INS-9380,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),33,2684,"Stacy's Greenhouses, Inc."
INS-4457,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),293,12514,Operation
INS-3964,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",749,67328,Hines Horticulture
INS-4922,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",68,5888,Harts Nursery
INS-6156,Los Angeles PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",98,4940,Van Wingerden International Inc.
INS-5021,Los Angeles PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),930,15439,El Modeno Gardens Inc.
INS-6917,Miami PIS,Air,Japan,Budwood/Graftwood (scion),623,32893,Kitayama Brothers
INS-6106,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),477,25781,"Stacy's Greenhouses, Inc."
INS-3930,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",471,6545,Operation
INS-4062,Los Angeles PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",949,29869,Sunshine Floral Inc.
INS-4417,Atlanta PIS,Train,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),939,54508,Paul Ecke Ranch
INS-1805,Miami PIS,Sea,India,Budwood/Graftwood (scion),891,50982,Four Star Greenhouses
INS-2377,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),721,60224,Van de Wetering Greenhouses Inc.
INS-7522,Atlanta PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",523,44687,Color Star Growers
INS-4456,Los Angeles PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),596,7309,Milgro Nursery Inc.
INS-2894,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",5,395,Burgett Geothermal Greenhouses
INS-6141,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",931,7455,Young's Nursery & Greenhouses
INS-7744,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),648,62804,GroLink Plant Co.
INS-3335,Los Angeles PIS,Air,New Zeland,Budwood/Graftwood (scion),792,39390,Bob's Market & Greenhouses Inc.
INS-8550,Los Angeles PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),437,11551,Alex R. Masson
INS-9310,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",393,30107,Maria Gardens Greenhouses Inc.
INS-6492,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),245,6706,Elzinga & Hoeksema Greenhouses
INS-7018,Los Angeles PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",270,12829,Milgro Nursery Inc.
INS-1404,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),50,576,Four Star Greenhouses
INS-9508,Miami PIS,Air,India,Budwood/Graftwood (scion),8,166,Colorama Wholesale Nursery
INS-4479,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),843,49342,Metrolina Greenhouses
INS-9265,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",893,8169,Elzinga & Hoeksema Greenhouses
INS-6265,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",261,6067,Rocket Farms
INS-1029,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),149,14352,Silver Terrace Nursery
INS-1234,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",616,48599,Color Star Growers
INS-7048,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",711,17527,Dan Schantz Farm
INS-6141,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",931,7455,Young's Nursery & Greenhouses
INS-1202,Atlanta PIS,Air,India,Budwood/Graftwood (scion),178,6190,Operation
INS-7630,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),777,37348,Van de Wetering Greenhouses Inc.
INS-8774,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),278,7060,Dan Schantz Farm
